Years,Months (MES),CADENA GENERAL,NAME,QUANTITY,VALUE,PRICE
2020,10,Sears,Atoderm Intensive Balsamo 500 ml,6,2503.44,417.24
2020,10,Sears,Atoderm Intensive Balsamo 75 ml,6,925.03,154.1716667
2020,10,Sears,Atoderm Intensive Gel Moussant 200 ml,7,1237.04,176.72
2020,10,Sears,Atoderm SOS Spray 50 ml,2,455.94,227.97
2020,10,Sears,KIT Photoderm Aqua. Claro +Sensibio  H20 100ml,6,2022.42,337.07
2020,10,Sears,KIT Photoderm Aqua. Dor. + Sensibio  H20 100ml,12,4069.19,339.0991667
2020,10,Sears,KIT Photoderm Aqua. Neutro +Sensibio  H2O 100ml,9,3033.63,337.07
2020,10,Sears,Photoderm AR Spf 50+ 30 ml,3,1287.93,429.31
2020,10,Sears,Photoderm Cover T. Claro 40 gr,16,7188.09,449.255625
2020,10,Sears,Photoderm Cover T. Dorado 40 gr,15,6679.34,445.2893333
2020,10,Sears,Photoderm Crema Dorado Spf 50+ 40 ml,3,1011.21,337.07
2020,10,Sears,Photoderm Kid Leche 50+  100 ml,1,347.22,347.22
2020,10,Sears,Photoderm M Spf 50+ 40 ml,7,3039.75,434.25
2020,10,Sears,Photoderm MAX Aquafluido Claro 40 ml,7,2359.49,337.07
2020,10,Sears,Photoderm MAX Aquafluido Dorado 40 ml,3,1011.21,337.07
2020,10,Sears,Photoderm MAX Aquafluido Neutro 40 ml,2,674.14,337.07
2020,10,Sears,Photoderm MAX Crema 40 ml,4,1373.25,343.3125
2020,10,Sears,Photoderm MAX Spray Spf 50+ 400 ml,4,2321.53,580.3825
2020,10,Sears,Photoderm Nude Touch Claro Spf 50+ 40 ml,7,3226.72,460.96
2020,10,Sears,Photoderm Nude Touch Dorado Spf 50+ 40 ml,7,3023.27,431.8957143
2020,10,Sears,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,6,2718.96,453.16
2020,10,Sears,Photoderm Spot Age Spf 50+ 40 ml,4,1749.04,437.26
2020,10,Sears,Sebium Gel Moussant 100 ml,21,3511.74,167.2257143
2020,10,Sears,Sebium Gel Moussant 500 ml,1,499.14,499.14
2020,10,Sears,Sebium Gel Moussant Tubo 200 ml,10,3059.74,305.974
2020,10,Sears,Sebium Global 30 ml,4,1679.32,419.83
2020,10,Sears,Sebium H2O 100 ml,5,778.61,155.722
2020,10,Sears,Sebium H2O 250 ml,3,1039.65,346.55
2020,10,Sears,Sebium H2O 500 ml,5,2409.5,481.9
2020,10,Sears,Sebium H2O Bomba Inv 500 ml,1,522.41,522.41
2020,10,Sears,Sebium Night Peel 40 ml,4,1893.05,473.2625
2020,10,Sears,Sebium Pore Refiner 30 ml,4,1924.12,481.03
2020,10,Sears,Sensibio AR 40 ml,5,2017.25,403.45
2020,10,Sears,Sensibio Gel Contorno de Ojos 15 ml,1,334.26,334.26
2020,10,Sears,Sensibio Gel Moussant 200 ml,12,3943.28,328.6066667
2020,10,Sears,Sensibio Gel Moussant 500 ml,16,8060.18,503.76125
2020,10,Sears,Sensibio Gel Moussant Tubo 100 ml,24,4100.49,170.85375
2020,10,Sears,Sensibio H2O 100 ml,10,1591.3,159.13
2020,10,Sears,Sensibio H2O 250 ml,5,1758.42,351.684
2020,10,Sears,Sensibio H2O 500 ml,10,4854.68,485.468
2020,10,Sears,Sensibio H2O Bomba Inv 500 ml,9,4740.39,526.71
2020,10,Sears,Sensibio Light 40 ml,5,1642.25,328.45
2020,11,Benavides,Atoderm Barra 150 gr,78,7386.3,94.69615385
2020,11,Benavides,Atoderm Crema Tubo 200 ml,65,8709.69,133.9952308
2020,11,Benavides,Atoderm Intensive Balsamo 200 ml,30,9374.81,312.4936667
2020,11,Benavides,KIT Photoderm Aqua. Claro +Sensibio  H20 100ml,3,695.7,231.9
2020,11,Benavides,KIT Sensibio  H2O 250ml +Sensibio  Gel 100ml,1,205.17,205.17
2020,11,Benavides,Photoderm AR Spf 50+ 30 ml,17,6302.75,370.75
2020,11,Benavides,Photoderm Cover T. Claro 40 gr,73,27704.63,379.5154795
2020,11,Benavides,Photoderm Cover T. Dorado 40 gr,25,9882.31,395.2924
2020,11,Benavides,Photoderm MAX Aquafluido Claro 40 ml,48,14977.54,312.0320833
2020,11,Benavides,Photoderm MAX Aquafluido Dorado 40 ml,28,8773.69,313.3460714
2020,11,Benavides,Photoderm MAX Aquafluido Neutro 40 ml,37,10871.89,293.8348649
2020,11,Benavides,Photoderm MAX Crema 40 ml,11,3286.38,298.7618182
2020,11,Benavides,Photoderm MAX Spray Spf 50+ 400 ml,8,3608.24,451.03
2020,11,Benavides,Photoderm Nude Touch Claro Spf 50+ 40 ml,30,11872.24,395.7413333
2020,11,Benavides,Photoderm Nude Touch Dorado Spf 50+ 40 ml,12,4660.34,388.3616667
2020,11,Benavides,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,24,9322.41,388.43375
